"Model","Displ","Cyl","Trans","Drive","Fuel","Stnd","Class","APS","City_MPG","Hwy_MPG","Cmb_MPG","GGS","SM","Cmb_CO2","City_MPGe","Hwy_MPGe","Cmb_MPGe","Cmb_CO2e"
"DODGE Durango",5.7,8,"Auto-8","2WD","Gasoline","L3ULEV125","standard SUV",3,14,22,17,3,"No",525,NA,NA,NA,NA
"DODGE Durango",5.7,8,"Auto-8","2WD","Gasoline","T3B125","standard SUV",3,14,22,17,3,"No",525,NA,NA,NA,NA
"DODGE Durango",5.7,8,"Auto-8","4WD","Gasoline","L3ULEV125","standard SUV",3,14,22,17,3,"No",533,NA,NA,NA,NA
"DODGE Durango",5.7,8,"Auto-8","4WD","Gasoline","T3B125","standard SUV",3,14,22,17,3,"No",533,NA,NA,NA,NA
"DODGE Durango  SRT",6.4,8,"Auto-8","4WD","Gasoline","L3LEV160","standard SUV",1,13,19,15,2,"No",584,NA,NA,NA,NA
"DODGE Durango  SRT",6.4,8,"Auto-8","4WD","Gasoline","T3B160","standard SUV",1,13,19,15,2,"No",584,NA,NA,NA,NA
"FERRARI 488 Pista",3.9,8,"AutoMan-7","2WD","Gasoline","L3ULEV125","small car",3,15,20,17,3,"No",524,NA,NA,NA,NA
"FERRARI 488 Pista",3.9,8,"AutoMan-7","2WD","Gasoline","T3B125","small car",3,15,20,17,3,"No",524,NA,NA,NA,NA
"FERRARI 488 Pista Spider",3.9,8,"AutoMan-7","2WD","Gasoline","L3ULEV125","small car",3,15,19,17,3,"No",531,NA,NA,NA,NA
"FERRARI 488 Pista Spider",3.9,8,"AutoMan-7","2WD","Gasoline","T3B125","small car",3,15,19,17,3,"No",531,NA,NA,NA,NA
"FERRARI 812 Superfast",6.5,12,"AutoMan-7","2WD","Gasoline","L3ULEV125","small car",3,12,16,13,1,"No",661,NA,NA,NA,NA
"FERRARI 812 Superfast",6.5,12,"AutoMan-7","2WD","Gasoline","T3B125","small car",3,12,16,13,1,"No",661,NA,NA,NA,NA
"FERRARI F8 Tributo",3.9,8,"AutoMan-7","2WD","Gasoline","L3ULEV125","small car",3,15,19,16,2,"No",541,NA,NA,NA,NA
"FERRARI F8 Tributo",3.9,8,"AutoMan-7","2WD","Gasoline","T3B125","small car",3,15,19,16,2,"No",541,NA,NA,NA,NA
"FERRARI GTC4Lusso",6.3,12,"AutoMan-7","4WD","Gasoline","L3ULEV125","small car",3,12,17,13,1,"No",661,NA,NA,NA,NA
"FERRARI GTC4Lusso",6.3,12,"AutoMan-7","4WD","Gasoline","T3B125","small car",3,12,17,13,1,"No",661,NA,NA,NA,NA
"FERRARI GTC4Lusso T",3.9,8,"AutoMan-7","2WD","Gasoline","L3ULEV125","small car",3,15,21,17,3,"No",524,NA,NA,NA,NA
"FERRARI GTC4Lusso T",3.9,8,"AutoMan-7","2WD","Gasoline","T3B125","small car",3,15,21,17,3,"No",524,NA,NA,NA,NA
"FERRARI Portofino",3.9,8,"AutoMan-7","2WD","Gasoline","L3ULEV125","small car",3,16,22,18,3,"No",485,NA,NA,NA,NA
"FERRARI Portofino",3.9,8,"AutoMan-7","2WD","Gasoline","T3B125","small car",3,16,22,18,3,"No",485,NA,NA,NA,NA
"FIAT 124 Spider",1.4,4,"Auto-6","2WD","Gasoline","L3ULEV125","small car",3,25,36,29,6,"No",302,NA,NA,NA,NA
"FIAT 124 Spider",1.4,4,"Auto-6","2WD","Gasoline","T3B125","small car",3,25,36,29,6,"No",302,NA,NA,NA,NA
"FIAT 124 Spider",1.4,4,"Man-6","2WD","Gasoline","L3ULEV125","small car",3,26,35,30,7,"No",298,NA,NA,NA,NA
"FIAT 124 Spider",1.4,4,"Man-6","2WD","Gasoline","T3B125","small car",3,26,35,30,7,"No",298,NA,NA,NA,NA
"FIAT 500L",1.4,4,"Auto-6","2WD","Gasoline","L3ULEV125","station wagon",3,22,30,25,5,"No",356,NA,NA,NA,NA
"FIAT 500L",1.4,4,"Auto-6","2WD","Gasoline","T3B125","station wagon",3,22,30,25,5,"No",356,NA,NA,NA,NA
"FIAT 500X",1.3,4,"Auto-9","4WD","Gasoline","L3ULEV50","small SUV",6,24,30,26,5,"No",342,NA,NA,NA,NA
"FIAT 500X",1.3,4,"Auto-9","4WD","Gasoline","T3B50","small SUV",6,24,30,26,5,"No",342,NA,NA,NA,NA
"FORD EcoSport",1,3,"SemiAuto-6","2WD","Gasoline","L3ULEV70","small SUV",5,27,29,28,6,"No",318,NA,NA,NA,NA
"FORD EcoSport",1,3,"SemiAuto-6","2WD","Gasoline","T3B70","small SUV",5,27,29,28,6,"No",318,NA,NA,NA,NA
"FORD EcoSport",2,4,"SemiAuto-6","4WD","Gasoline","L3ULEV70","small SUV",5,23,29,25,5,"No",355,NA,NA,NA,NA
"FORD EcoSport",2,4,"SemiAuto-6","4WD","Gasoline","T3B70","small SUV",5,23,29,25,5,"No",355,NA,NA,NA,NA
"FORD Edge",2,4,"Auto-8","2WD","Gasoline","L3ULEV70","small SUV",5,21,29,24,5,"No",369,NA,NA,NA,NA
"FORD Edge",2,4,"Auto-8","2WD","Gasoline","T3B70","small SUV",5,21,29,24,5,"No",369,NA,NA,NA,NA
"FORD Edge",2,4,"Auto-8","4WD","Gasoline","L3ULEV70","small SUV",5,21,28,23,5,"No",384,NA,NA,NA,NA
"FORD Edge",2,4,"Auto-8","4WD","Gasoline","T3B70","small SUV",5,21,28,23,5,"No",384,NA,NA,NA,NA
"FORD Edge",2,4,"SemiAuto-8","4WD","Gasoline","L3ULEV70","small SUV",5,21,28,23,5,"No",384,NA,NA,NA,NA
"FORD Edge",2,4,"SemiAuto-8","4WD","Gasoline","T3B70","small SUV",5,21,28,23,5,"No",384,NA,NA,NA,NA
"FORD Edge",2.7,6,"SemiAuto-8","4WD","Gasoline","L3ULEV70","small SUV",5,19,26,21,4,"No",417,NA,NA,NA,NA
"FORD Edge",2.7,6,"SemiAuto-8","4WD","Gasoline","T3B70","small SUV",5,19,26,21,4,"No",417,NA,NA,NA,NA
"FORD Escape",1.5,3,"Auto-8","2WD","Gasoline","L3SULEV30","small SUV",7,27,33,30,7,"Yes",297,NA,NA,NA,NA
"FORD Escape",1.5,3,"Auto-8","2WD","Gasoline","T3B30","small SUV",7,27,33,30,7,"Yes",297,NA,NA,NA,NA
"FORD Explorer",2.3,4,"SemiAuto-10","2WD","Gasoline","L3ULEV70","standard SUV",5,21,28,24,5,"No",370,NA,NA,NA,NA
"FORD Explorer",2.3,4,"SemiAuto-10","2WD","Gasoline","T3B70","standard SUV",5,21,28,24,5,"No",370,NA,NA,NA,NA
"FORD Explorer",2.3,4,"SemiAuto-10","4WD","Gasoline","L3ULEV70","standard SUV",5,20,27,23,5,"No",386,NA,NA,NA,NA
"FORD Explorer",2.3,4,"SemiAuto-10","4WD","Gasoline","T3B70","standard SUV",5,20,27,23,5,"No",386,NA,NA,NA,NA
"FORD Explorer",3,6,"SemiAuto-10","4WD","Gasoline","L3ULEV70","standard SUV",5,18,24,20,4,"No",446,NA,NA,NA,NA
"FORD Explorer",3,6,"SemiAuto-10","4WD","Gasoline","T3B70","standard SUV",5,18,24,20,4,"No",446,NA,NA,NA,NA
"FORD Explorer FFV",3.3,6,"SemiAuto-10","4WD","Ethanol/Gas","L3ULEV70","standard SUV",5,11,15,13,3,"No",500,16,23,19,468
"FORD Explorer FFV",3.3,6,"SemiAuto-10","4WD","Ethanol/Gas","T3B70","standard SUV",5,11,15,13,3,"No",500,16,23,19,468
"FORD Explorer HEV",3.3,6,"SemiAuto-10","2WD","Gasoline","L3ULEV70","standard SUV",5,27,29,28,6,"No",322,NA,NA,NA,NA
"FORD Explorer HEV",3.3,6,"SemiAuto-10","4WD","Gasoline","L3ULEV70","standard SUV",5,23,26,25,5,"No",361,NA,NA,NA,NA
"FORD Explorer HEV",3.3,6,"SemiAuto-10","4WD","Gasoline","T3B70","standard SUV",5,23,26,25,5,"No",361,NA,NA,NA,NA
"FORD F150",2.7,6,"SemiAuto-10","2WD","Gasoline","L3ULEV70","pickup",5,20,26,22,4,"No",402,NA,NA,NA,NA
"FORD F150",2.7,6,"SemiAuto-10","2WD","Gasoline","T3B70","pickup",5,20,26,22,4,"No",402,NA,NA,NA,NA
"FORD F150",2.7,6,"SemiAuto-10","4WD","Gasoline","L3ULEV70","pickup",5,18,23,20,4,"No",444,NA,NA,NA,NA
"FORD F150",2.7,6,"SemiAuto-10","4WD","Gasoline","T3B70","pickup",5,18,23,20,4,"No",444,NA,NA,NA,NA
"FORD F150",3.5,6,"SemiAuto-10","2WD","Gasoline","L3ULEV70","pickup",5,17,23,19,3,"No",468,NA,NA,NA,NA
"FORD F150",3.5,6,"SemiAuto-10","2WD","Gasoline","T3B70","pickup",5,17,23,19,3,"No",468,NA,NA,NA,NA
"FORD F150",3.5,6,"SemiAuto-10","4WD","Gasoline","L3ULEV70","pickup",5,16,22,18,3,"No",488,NA,NA,NA,NA
"FORD F150",3.5,6,"SemiAuto-10","4WD","Gasoline","T3B70","pickup",5,16,22,18,3,"No",488,NA,NA,NA,NA
"FORD F150 FFV",3.3,6,"SemiAuto-6","2WD","Ethanol/Gas","L3ULEV70","pickup",5,14,19,16,4,"No",394,19,25,22,409
"FORD F150 FFV",3.3,6,"SemiAuto-6","2WD","Ethanol/Gas","T3B70","pickup",5,14,19,16,4,"No",394,19,25,22,409
"FORD F150 FFV",3.3,6,"SemiAuto-6","4WD","Ethanol/Gas","L3ULEV70","pickup",5,13,17,15,4,"No",424,18,23,20,439
"FORD F150 FFV",3.3,6,"SemiAuto-6","4WD","Ethanol/Gas","T3B70","pickup",5,13,17,15,4,"No",424,18,23,20,439
"FORD F150 FFV",5,8,"SemiAuto-10","2WD","Ethanol/Gas","L3ULEV125","pickup",3,12,17,14,3,"No",440,15,20,17,523
"FORD F150 FFV",5,8,"SemiAuto-10","2WD","Ethanol/Gas","L3ULEV125","pickup",3,12,17,14,3,"No",447,17,23,19,467
"FORD F150 FFV",5,8,"SemiAuto-10","2WD","Ethanol/Gas","T3B125","pickup",3,12,17,14,3,"No",440,15,20,17,523
"FORD F150 FFV",5,8,"SemiAuto-10","2WD","Ethanol/Gas","T3B125","pickup",3,12,17,14,3,"No",447,17,23,19,467
"FORD F150 FFV",5,8,"SemiAuto-10","4WD","Ethanol/Gas","L3ULEV125","pickup",3,12,15,13,3,"No",487,15,21,18,506
"FORD F150 FFV",5,8,"SemiAuto-10","4WD","Ethanol/Gas","T3B125","pickup",3,12,15,13,3,"No",487,15,21,18,506
"FORD F150 FFV BASE PAYLOAD LT",5,8,"SemiAuto-10","2WD","Ethanol/Gas","L3ULEV125","pickup",3,12,17,14,3,"No",449,16,21,18,494
"FORD F150 FFV BASE PAYLOAD LT",5,8,"SemiAuto-10","2WD","Ethanol/Gas","T3B125","pickup",3,12,17,14,3,"No",449,16,21,18,494
"FORD F150 Limited",3.5,6,"SemiAuto-10","2WD","Gasoline","L3ULEV70","pickup",5,17,22,19,3,"No",466,NA,NA,NA,NA
"FORD F150 Limited",3.5,6,"SemiAuto-10","2WD","Gasoline","T3B70","pickup",5,17,22,19,3,"No",466,NA,NA,NA,NA
"FORD F150 Limited",3.5,6,"SemiAuto-10","4WD","Gasoline","L3ULEV70","pickup",5,17,21,19,3,"No",467,NA,NA,NA,NA
"FORD F150 Limited",3.5,6,"SemiAuto-10","4WD","Gasoline","T3B70","pickup",5,17,21,19,3,"No",467,NA,NA,NA,NA
"FORD F150 Raptor",3.5,6,"SemiAuto-10","4WD","Gasoline","L3ULEV70","pickup",5,15,18,16,2,"No",540,NA,NA,NA,NA
"FORD F150 Raptor",3.5,6,"SemiAuto-10","4WD","Gasoline","T3B70","pickup",5,15,18,16,2,"No",540,NA,NA,NA,NA
"FORD Fusion",1.5,4,"SemiAuto-6","2WD","Gasoline","L3SULEV30","midsize car",7,23,34,27,6,"No",327,NA,NA,NA,NA
"FORD Fusion",1.5,4,"SemiAuto-6","2WD","Gasoline","T3B30","midsize car",7,23,34,27,6,"No",327,NA,NA,NA,NA
"FORD Fusion",2,4,"SemiAuto-6","2WD","Gasoline","L3ULEV70","midsize car",5,21,31,25,5,"No",355,NA,NA,NA,NA
"FORD Fusion",2,4,"SemiAuto-6","2WD","Gasoline","T3B70","midsize car",5,21,31,25,5,"No",355,NA,NA,NA,NA
"FORD Fusion",2,4,"SemiAuto-6","4WD","Gasoline","L3ULEV70","midsize car",5,20,29,23,5,"No",384,NA,NA,NA,NA
"FORD Fusion",2,4,"SemiAuto-6","4WD","Gasoline","T3B70","midsize car",5,20,29,23,5,"No",384,NA,NA,NA,NA
"FORD Fusion",2.5,4,"Auto-6","2WD","Gasoline","L3ULEV70","midsize car",5,21,31,24,5,"No",364,NA,NA,NA,NA
"FORD Fusion",2.5,4,"Auto-6","2WD","Gasoline","T3B70","midsize car",5,21,31,24,5,"No",364,NA,NA,NA,NA
"FORD Fusion Energi Plug-in Hybrid",2,4,"CVT","2WD","Gasoline/Electricity","L3SULEV30","midsize car",7,43,40,42,10,"Elite",99,109,97,103,NA
"FORD Fusion Energi Plug-in Hybrid",2,4,"CVT","2WD","Gasoline/Electricity","T3B30","midsize car",7,43,40,42,10,"Elite",99,109,97,103,NA
"FORD Fusion Hybrid",2,4,"CVT","2WD","Gasoline","L3SULEV30","midsize car",7,43,41,42,9,"Yes",211,NA,NA,NA,NA
"FORD Fusion Hybrid",2,4,"CVT","2WD","Gasoline","T3B30","midsize car",7,43,41,42,9,"Yes",211,NA,NA,NA,NA
"FORD Fusion Hybrid Taxi",2,4,"CVT","2WD","Gasoline","L3SULEV30","midsize car",7,43,40,41,9,"Yes",217,NA,NA,NA,NA
"FORD Fusion Hybrid Taxi",2,4,"CVT","2WD","Gasoline","T3B30","midsize car",7,43,40,41,9,"Yes",217,NA,NA,NA,NA
"FORD Mustang",2.3,4,"Man-6","2WD","Gasoline","L3ULEV70","small car",5,21,30,24,5,"No",364,NA,NA,NA,NA
"FORD Mustang",2.3,4,"Man-6","2WD","Gasoline","T3B70","small car",5,21,30,24,5,"No",364,NA,NA,NA,NA
"FORD Mustang",2.3,4,"SemiAuto-10","2WD","Gasoline","L3ULEV70","small car",5,21,32,25,5,"No",354,NA,NA,NA,NA
"FORD Mustang",2.3,4,"SemiAuto-10","2WD","Gasoline","T3B70","small car",5,21,32,25,5,"No",354,NA,NA,NA,NA
"FORD Mustang",5,8,"Man-6","2WD","Gasoline","L3ULEV125","small car",3,15,24,18,3,"No",493,NA,NA,NA,NA
"FORD Mustang",5,8,"Man-6","2WD","Gasoline","T3B125","small car",3,15,24,18,3,"No",493,NA,NA,NA,NA
"FORD Mustang",5,8,"SemiAuto-10","2WD","Gasoline","L3ULEV125","small car",3,16,25,19,3,"No",472,NA,NA,NA,NA
"FORD Mustang",5,8,"SemiAuto-10","2WD","Gasoline","T3B125","small car",3,16,25,19,3,"No",472,NA,NA,NA,NA
"FORD Mustang Bullitt",5,8,"Man-6","2WD","Gasoline","L3ULEV125","small car",3,14,23,17,3,"No",514,NA,NA,NA,NA
"FORD Mustang Bullitt",5,8,"Man-6","2WD","Gasoline","T3B125","small car",3,14,23,17,3,"No",514,NA,NA,NA,NA
"FORD Mustang Convertible",2.3,4,"Man-6","2WD","Gasoline","L3ULEV70","small car",5,20,28,23,5,"No",386,NA,NA,NA,NA
"FORD Mustang Convertible",2.3,4,"Man-6","2WD","Gasoline","T3B70","small car",5,20,28,23,5,"No",386,NA,NA,NA,NA
"FORD Mustang Convertible",2.3,4,"SemiAuto-10","2WD","Gasoline","L3ULEV70","small car",5,20,28,23,5,"No",387,NA,NA,NA,NA
"FORD Mustang Convertible",2.3,4,"SemiAuto-10","2WD","Gasoline","T3B70","small car",5,20,28,23,5,"No",387,NA,NA,NA,NA
"FORD Mustang Convertible",5,8,"SemiAuto-10","2WD","Gasoline","L3ULEV125","small car",3,15,24,18,3,"No",484,NA,NA,NA,NA
"FORD Mustang Convertible",5,8,"SemiAuto-10","2WD","Gasoline","T3B125","small car",3,15,24,18,3,"No",484,NA,NA,NA,NA
"FORD Mustang HO Convertible",2.3,4,"Man-6","2WD","Gasoline","L3ULEV70","small car",5,19,26,22,4,"No",406,NA,NA,NA,NA
"FORD Mustang HO Convertible",2.3,4,"Man-6","2WD","Gasoline","T3B70","small car",5,19,26,22,4,"No",406,NA,NA,NA,NA
"FORD Mustang HO Convertible",2.3,4,"SemiAuto-10","2WD","Gasoline","L3ULEV70","small car",5,20,27,23,5,"No",386,NA,NA,NA,NA
"FORD Mustang HO Convertible",2.3,4,"SemiAuto-10","2WD","Gasoline","T3B70","small car",5,20,27,23,5,"No",386,NA,NA,NA,NA
"FORD Mustang HO Coupe",2.3,4,"Man-6","2WD","Gasoline","L3ULEV70","small car",5,20,27,23,5,"No",389,NA,NA,NA,NA
"FORD Mustang HO Coupe",2.3,4,"Man-6","2WD","Gasoline","T3B70","small car",5,20,27,23,5,"No",389,NA,NA,NA,NA
"FORD Mustang HO Coupe",2.3,4,"SemiAuto-10","2WD","Gasoline","L3ULEV70","small car",5,20,28,23,5,"No",386,NA,NA,NA,NA
"FORD Mustang HO Coupe",2.3,4,"SemiAuto-10","2WD","Gasoline","T3B70","small car",5,20,28,23,5,"No",386,NA,NA,NA,NA
"FORD Shelby GT350 Mustang",5.2,8,"Man-6","2WD","Gasoline","L3ULEV125","small car",3,14,21,16,2,"No",550,NA,NA,NA,NA
"FORD Shelby GT350 Mustang",5.2,8,"Man-6","2WD","Gasoline","T3B125","small car",3,14,21,16,2,"No",550,NA,NA,NA,NA
"FORD Shelby GT500 Mustang",5.2,8,"AutoMan-7","2WD","Gasoline","L3ULEV125","small car",3,12,18,14,1,"No",631,NA,NA,NA,NA
"FORD Shelby GT500 Mustang",5.2,8,"AutoMan-7","2WD","Gasoline","T3B125","small car",3,12,18,14,1,"No",631,NA,NA,NA,NA
"FORD Transit Connect",2,4,"SemiAuto-8","2WD","Ethanol/Gas","L3ULEV70","special purpose",5,17,21,19,5,"No",335,24,29,26,344
"FORD Transit Connect",2,4,"SemiAuto-8","2WD","Ethanol/Gas","L3ULEV70","special purpose",5,18,20,19,5,"No",337,24,27,25,353
"FORD Transit Connect",2,4,"SemiAuto-8","2WD","Ethanol/Gas","T3B70","special purpose",5,17,21,19,5,"No",335,24,29,26,344
"FORD Transit Connect",2,4,"SemiAuto-8","2WD","Ethanol/Gas","T3B70","special purpose",5,18,20,19,5,"No",337,24,27,25,353
"FORD Transit Connect",2,4,"SemiAuto-8","2WD","Gasoline","L3ULEV50","special purpose",6,24,27,25,5,"No",353,NA,NA,NA,NA
"FORD Transit Connect",2,4,"SemiAuto-8","2WD","Gasoline","L3ULEV50","special purpose",6,24,29,26,5,"No",344,NA,NA,NA,NA
"FORD Transit Connect",2,4,"SemiAuto-8","2WD","Gasoline","T3B50","special purpose",6,24,27,25,5,"No",353,NA,NA,NA,NA
"FORD Transit Connect",2,4,"SemiAuto-8","2WD","Gasoline","T3B50","special purpose",6,24,29,26,5,"No",344,NA,NA,NA,NA
"FORD Transit Connect",2.5,4,"SemiAuto-6","2WD","Gasoline","L3ULEV70","special purpose",5,20,26,22,4,"No",404,NA,NA,NA,NA
"FORD Transit Connect",2.5,4,"SemiAuto-6","2WD","Gasoline","L3ULEV70","special purpose",5,20,27,22,4,"No",397,NA,NA,NA,NA
"FORD Transit Connect",2.5,4,"SemiAuto-6","2WD","Gasoline","T3B70","special purpose",5,20,26,22,4,"No",404,NA,NA,NA,NA
"FORD Transit Connect",2.5,4,"SemiAuto-6","2WD","Gasoline","T3B70","special purpose",5,20,27,22,4,"No",397,NA,NA,NA,NA
"FORD Transit Connect USPS",2.5,4,"SemiAuto-6","2WD","Gasoline","L3ULEV70","special purpose",5,20,27,22,4,"No",397,NA,NA,NA,NA
"FORD Transit Connect USPS",2.5,4,"SemiAuto-6","2WD","Gasoline","T3B70","special purpose",5,20,27,22,4,"No",397,NA,NA,NA,NA
"GENESIS G70",2,4,"Man-6","2WD","Gasoline","L3ULEV125","small car",3,18,28,22,4,"No",410,NA,NA,NA,NA
"GENESIS G70",2,4,"Man-6","2WD","Gasoline","T3B125","small car",3,18,28,22,4,"No",410,NA,NA,NA,NA
"GENESIS G70",2,4,"SemiAuto-8","2WD","Gasoline","L3ULEV125","small car",3,22,30,25,5,"No",357,NA,NA,NA,NA
"GENESIS G70",2,4,"SemiAuto-8","2WD","Gasoline","T3B125","small car",3,22,30,25,5,"No",357,NA,NA,NA,NA
"GENESIS G70",2,4,"SemiAuto-8","4WD","Gasoline","L3ULEV125","small car",3,20,27,23,5,"No",385,NA,NA,NA,NA
"GENESIS G70",2,4,"SemiAuto-8","4WD","Gasoline","T3B125","small car",3,20,27,23,5,"No",385,NA,NA,NA,NA
"GENESIS G70",3.3,6,"SemiAuto-8","2WD","Gasoline","L3ULEV125","small car",3,17,26,20,4,"No",447,NA,NA,NA,NA
"GENESIS G70",3.3,6,"SemiAuto-8","2WD","Gasoline","T3B125","small car",3,17,26,20,4,"No",447,NA,NA,NA,NA
"GENESIS G70",3.3,6,"SemiAuto-8","4WD","Gasoline","L3ULEV125","small car",3,17,25,20,4,"No",457,NA,NA,NA,NA
"GENESIS G70",3.3,6,"SemiAuto-8","4WD","Gasoline","T3B125","small car",3,17,25,20,4,"No",457,NA,NA,NA,NA
"GENESIS G80",3.3,6,"SemiAuto-8","2WD","Gasoline","L3ULEV125","large car",3,17,25,20,4,"No",442,NA,NA,NA,NA
"GENESIS G80",3.3,6,"SemiAuto-8","2WD","Gasoline","T3B125","large car",3,17,25,20,4,"No",442,NA,NA,NA,NA
"GENESIS G80",3.3,6,"SemiAuto-8","4WD","Gasoline","L3ULEV125","large car",3,17,24,20,4,"No",453,NA,NA,NA,NA
"GENESIS G80",3.3,6,"SemiAuto-8","4WD","Gasoline","T3B125","large car",3,17,24,20,4,"No",453,NA,NA,NA,NA
"GENESIS G80",3.8,6,"SemiAuto-8","2WD","Gasoline","L3ULEV70","large car",5,18,26,21,4,"No",423,NA,NA,NA,NA
"GENESIS G80",3.8,6,"SemiAuto-8","2WD","Gasoline","T3B70","large car",5,18,26,21,4,"No",423,NA,NA,NA,NA
"GENESIS G80",3.8,6,"SemiAuto-8","4WD","Gasoline","L3ULEV70","large car",5,18,24,20,4,"No",445,NA,NA,NA,NA
"GENESIS G80",3.8,6,"SemiAuto-8","4WD","Gasoline","T3B70","large car",5,18,24,20,4,"No",445,NA,NA,NA,NA
"GENESIS G80",5,8,"SemiAuto-8","2WD","Gasoline","L3ULEV70","large car",5,16,24,19,3,"No",474,NA,NA,NA,NA
"GENESIS G80",5,8,"SemiAuto-8","2WD","Gasoline","T3B70","large car",5,16,24,19,3,"No",474,NA,NA,NA,NA
"GENESIS G80",5,8,"SemiAuto-8","4WD","Gasoline","L3ULEV70","large car",5,15,23,18,3,"No",503,NA,NA,NA,NA
"GENESIS G80",5,8,"SemiAuto-8","4WD","Gasoline","T3B70","large car",5,15,23,18,3,"No",503,NA,NA,NA,NA
"GENESIS G90",3.3,6,"SemiAuto-8","2WD","Gasoline","L3ULEV125","large car",3,17,25,20,4,"No",446,NA,NA,NA,NA
"GENESIS G90",3.3,6,"SemiAuto-8","2WD","Gasoline","T3B125","large car",3,17,25,20,4,"No",446,NA,NA,NA,NA
"GENESIS G90",3.3,6,"SemiAuto-8","4WD","Gasoline","L3ULEV125","large car",3,17,25,20,4,"No",451,NA,NA,NA,NA
"GENESIS G90",3.3,6,"SemiAuto-8","4WD","Gasoline","T3B125","large car",3,17,25,20,4,"No",451,NA,NA,NA,NA
"GENESIS G90",5,8,"SemiAuto-8","2WD","Gasoline","L3ULEV70","large car",5,16,24,19,3,"No",485,NA,NA,NA,NA
"GENESIS G90",5,8,"SemiAuto-8","2WD","Gasoline","T3B70","large car",5,16,24,19,3,"No",485,NA,NA,NA,NA
"GENESIS G90",5,8,"SemiAuto-8","4WD","Gasoline","L3ULEV70","large car",5,15,23,18,3,"No",500,NA,NA,NA,NA
"GENESIS G90",5,8,"SemiAuto-8","4WD","Gasoline","T3B70","large car",5,15,23,18,3,"No",500,NA,NA,NA,NA
"GMC Acadia",2.5,4,"Auto-9","2WD","Gasoline","L3ULEV70","standard SUV",5,21,27,23,5,"No",382,NA,NA,NA,NA
"GMC Acadia",2.5,4,"Auto-9","2WD","Gasoline","T3B70","standard SUV",5,21,27,23,5,"No",382,NA,NA,NA,NA
"GMC Acadia",3.6,6,"Auto-9","2WD","Gasoline","L3ULEV50","standard SUV",6,19,27,22,4,"No",413,NA,NA,NA,NA
"GMC Acadia",3.6,6,"Auto-9","2WD","Gasoline","T3B50","standard SUV",6,19,27,22,4,"No",413,NA,NA,NA,NA
"GMC Acadia",3.6,6,"Auto-9","4WD","Gasoline","L3ULEV50","standard SUV",6,18,25,21,4,"No",433,NA,NA,NA,NA
"GMC Acadia",3.6,6,"Auto-9","4WD","Gasoline","T3B50","standard SUV",6,18,25,21,4,"No",433,NA,NA,NA,NA
"GMC Canyon",2.5,4,"Auto-6","2WD","Gasoline","L3ULEV70","pickup",5,20,26,22,4,"No",406,NA,NA,NA,NA
"GMC Canyon",2.5,4,"Auto-6","2WD","Gasoline","T3B70","pickup",5,20,26,22,4,"No",406,NA,NA,NA,NA
"GMC Canyon",2.5,4,"Auto-6","4WD","Gasoline","L3ULEV70","pickup",5,19,24,21,4,"No",428,NA,NA,NA,NA
"GMC Canyon",2.5,4,"Auto-6","4WD","Gasoline","T3B70","pickup",5,19,24,21,4,"No",428,NA,NA,NA,NA
"GMC Canyon",2.8,4,"Auto-6","2WD","Diesel","L3ULEV125","pickup",3,20,30,23,4,"No",435,NA,NA,NA,NA
"GMC Canyon",2.8,4,"Auto-6","2WD","Diesel","T3B125","pickup",3,20,30,23,4,"No",435,NA,NA,NA,NA
"GMC Canyon",2.8,4,"Auto-6","4WD","Diesel","L3ULEV125","pickup",3,19,28,22,4,"No",456,NA,NA,NA,NA
"GMC Canyon",2.8,4,"Auto-6","4WD","Diesel","T3B125","pickup",3,19,28,22,4,"No",456,NA,NA,NA,NA
"GMC Canyon",3.6,6,"Auto-8","2WD","Gasoline","L3ULEV70","pickup",5,18,25,20,4,"No",440,NA,NA,NA,NA
"GMC Canyon",3.6,6,"Auto-8","2WD","Gasoline","T3B70","pickup",5,18,25,20,4,"No",440,NA,NA,NA,NA
"GMC Canyon",3.6,6,"Auto-8","4WD","Gasoline","L3ULEV70","pickup",5,17,24,19,3,"No",461,NA,NA,NA,NA
"GMC Canyon",3.6,6,"Auto-8","4WD","Gasoline","T3B70","pickup",5,17,24,19,3,"No",461,NA,NA,NA,NA
"GMC Sierra",2.7,4,"Auto-8","2WD","Gasoline","L3ULEV50","pickup",6,19,22,20,4,"No",421,NA,NA,NA,NA
"GMC Sierra",2.7,4,"Auto-8","2WD","Gasoline","L3ULEV50","pickup",6,20,23,21,4,"No",421,NA,NA,NA,NA
"GMC Sierra",2.7,4,"Auto-8","2WD","Gasoline","T3B50","pickup",6,19,22,20,4,"No",421,NA,NA,NA,NA
"GMC Sierra",2.7,4,"Auto-8","2WD","Gasoline","T3B50","pickup",6,20,23,21,4,"No",421,NA,NA,NA,NA
"GMC Sierra",2.7,4,"Auto-8","4WD","Gasoline","L3ULEV50","pickup",6,19,22,20,4,"No",442,NA,NA,NA,NA
"GMC Sierra",2.7,4,"Auto-8","4WD","Gasoline","T3B50","pickup",6,19,22,20,4,"No",442,NA,NA,NA,NA
"GMC Sierra",3,6,"Auto-10","2WD","Diesel","L3LEV160","pickup",1,23,30,26,5,"No",392,NA,NA,NA,NA
"GMC Sierra",3,6,"Auto-10","2WD","Diesel","T3B160","pickup",1,23,30,26,5,"No",392,NA,NA,NA,NA
