"Model","Displ","Cyl","Trans","Drive","Fuel","Stnd","Class","APS","City_MPG","Hwy_MPG","Cmb_MPG","GGS","SM","Cmb_CO2","City_MPGe","Hwy_MPGe","Cmb_MPGe","Cmb_CO2e"
"ALFA ROMEO Giulia",2.9,6,"Auto-8","2WD","Gasoline","T3B125","midsize car",3,17,25,20,4,"No",436,NA,NA,NA,NA
"ALFA ROMEO Giulia AWD",2,4,"Auto-8","4WD","Gasoline","L3ULEV125","midsize car",3,23,31,26,5,"No",348,NA,NA,NA,NA
"ALFA ROMEO Giulia AWD",2,4,"Auto-8","4WD","Gasoline","T3B125","midsize car",3,23,31,26,5,"No",348,NA,NA,NA,NA
"ALFA ROMEO Stelvio",2,4,"Auto-8","2WD","Gasoline","L3ULEV125","small SUV",3,22,29,25,5,"No",359,NA,NA,NA,NA
"ALFA ROMEO Stelvio",2,4,"Auto-8","2WD","Gasoline","T3B125","small SUV",3,22,29,25,5,"No",359,NA,NA,NA,NA
"ALFA ROMEO Stelvio AWD",2,4,"Auto-8","4WD","Gasoline","L3ULEV125","small SUV",3,22,28,24,5,"No",364,NA,NA,NA,NA
"ALFA ROMEO Stelvio AWD",2,4,"Auto-8","4WD","Gasoline","T3B125","small SUV",3,22,28,24,5,"No",364,NA,NA,NA,NA
"ALFA ROMEO Stelvio AWD",2.9,6,"Auto-8","4WD","Gasoline","L3ULEV125","small SUV",3,17,23,19,3,"No",463,NA,NA,NA,NA
"ALFA ROMEO Stelvio AWD",2.9,6,"Auto-8","4WD","Gasoline","T3B125","small SUV",3,17,23,19,3,"No",463,NA,NA,NA,NA
"ASTON MARTIN DB11",4,8,"SemiAuto-8","2WD","Gasoline","L2ULEV125","small car",3,18,24,20,4,"No",431,NA,NA,NA,NA
"ASTON MARTIN DB11",4,8,"SemiAuto-8","2WD","Gasoline","T3B125","small car",3,18,24,20,4,"No",431,NA,NA,NA,NA
"ASTON MARTIN DB11",5.2,12,"SemiAuto-8","2WD","Gasoline","L2ULEV125","small car",3,15,22,18,3,"No",497,NA,NA,NA,NA
